Year,Spec,X,Y,FirstFound,AgeFound,Exposure,Fate,InitBHCO,Clutch,InitClutch
2023,RWBL,464650,5176112,6/1/2023,-4,6,Failed,0,1,0
2023,GADW,464687,5175860,6/23/2023,20,5,Survive,0,12,12
2023,CCSP,464952,5175907,5/31/2023,-4,4,Failed,0,1,0
2023,CCSP,465002,5175857,6/7/2023,-2,8,Failed,1,1,1
2023,CCSP,465564,5176271,6/16/2023,0,22,Survive,0,4,4
2023,YHBL,464640,5176606,6/9/2023,8,16,Survive,0,3,4
2023,CCSP,465502,5176469,5/24/2023,-4,19,Failed,0,3,0
2023,WEME,464561,5175647,6/23/2023,0,3,Failed,2,2,2
2023,RWBL,464762,5176615,6/9/2023,13,10,Survive,0,4,4
2023,YHBL,464727,5176585,6/9/2023,13,7,Survive,3,1,1
2023,BWTE,465088,5176345,5/20/2023,-6,31,Survive,0,10,4
2023,CCSP,464201,5176227,6/6/2023,5,16,Failed,0,3,3
2023,AMCO,465374,5176545,5/24/2023,-8,25,Survive,0,9,1
2023,RWBL,464603,5175828,6/1/2023,2,21,Survive,2,2,1
2023,CCSP,465521,5177143,6/18/2023,11,5,Failed,0,4,4
2023,WILL,464196,5176474,6/7/2023,7,18,Survive,0,4,4
2023,NOPI,465271,5176403,6/16/2023,15,10,Survive,0,7,7
2023,CCSP,465217,5175963,6/15/2023,10,11,Failed,1,1,1
2023,GRSP,465386,5175710,6/20/2023,15,6,Failed,0,3,3
2023,BWTE,465230,5176395,5/24/2023,1,22,Failed,0,9,9
2023,YHBL,464729,5176591,6/15/2023,15,6,Failed,0,3,3
2023,BWTE,464315,5176674,6/7/2023,16,3,Failed,0,9,9
2023,BWTE,465218,5176960,5/22/2023,0,25,Survive,0,10,10
2023,EAKI,465472,5176068,6/14/2023,3,15,Failed,0,3,3
2023,RWBL,464200,5177099,6/9/2023,2,4,Failed,1,3,3
2023,YHBL,464713,5176554,6/9/2023,-3,19,Failed,0,3,0
2023,RWBL,465314,5176521,5/24/2023,-8,33,Failed,0,2,0
2023,CCSP,464733,5176748,6/10/2023,6,6,Failed,0,4,4
2023,BWTE,464874,5176387,6/5/2023,16,2,Failed,0,9,9
2023,CCSP,464303,5175911,6/5/2023,7,14,Survive,0,2,2
2023,CCSP,464335,5175985,6/5/2023,7,14,Failed,1,1,1
2023,BRBL,465002,5176441,6/15/2023,10,11,Failed,1,4,4
2023,CCSP,464772,5176975,7/13/2023,6,12,Failed,0,3,3
2023,GADW,465214,5177108,6/9/2023,7,17,Survive,0,7,7
2023,BWTE,465221,5177105,6/12/2023,10,14,Survive,0,10,10
2023,CCSP,465281,5177150,6/13/2023,7,13,Survive,1,3,4
2023,MALL,464822,5176416,6/6/2023,10,19,Survive,0,9,8
2023,GADW,465713,5176116,6/19/2023,20,4,Survive,0,11,11
2023,RWBL,465179,5175774,5/30/2023,1,16,Failed,2,2,2
2023,GADW,465159,5175988,5/30/2023,-2,24,Failed,0,10,8
2023,CCLO,465628,5175809,7/8/2023,5,20,Survive,0,2,4
2023,YHBL,465216,5176902,6/14/2023,7,18,Survive,1,1,3
2023,CCSP,465105,5176025,5/30/2023,1,13,Failed,0,2,3
2023,NOPI,465082,5177185,6/9/2023,3,3,Failed,0,7,7
2023,RWBL,465473,5176700,5/24/2023,-3,2,Failed,0,1,1
2023,GWTE,465384,5176606,6/5/2023,-3,27,Survive,0,8,8
2023,CCSP,465529,5176218,7/7/2023,-3,21,Failed,0,2,1
2023,AMWI,465731,5176603,6/15/2023,10,17,Survive,0,9,9
2023,RWBL,465614,5176974,6/14/2023,6,18,Failed,0,3,4
2023,AMCO,465476,5176924,6/14/2023,6,18,Survive,0,9,9
2023,BOBO,465308,5177030,6/13/2023,3,19,Failed,0,2,4
2023,RWBL,465566,5176937,6/14/2023,8,18,Survive,0,4,4
2023,CCSP,465120,5176706,6/9/2023,4,3,Failed,3,1,1
2023,GADW,464238,5175924,6/5/2023,6,11,Failed,0,10,10
2023,CCSP,464165,5175838,6/5/2023,2,5,Failed,0,4,4
2023,CCSP,464911,5175983,6/21/2023,18,4,Survive,0,3,3
2023,RWBL,464974,5176344,5/30/2023,-4,8,Failed,2,1,0
2023,CCSP,464457,5177083,7/13/2023,7,1,Failed,2,4,4
2023,BRBL,465678,5176013,6/19/2023,12,7,Failed,0,4,4
2023,RWBL,464663,5175896,6/1/2023,-1,24,Survive,0,3,2
2023,CCSP,464465,5175769,6/1/2023,2,18,Survive,1,2,3
