Year,id,Spec,FirstFound,LastPresent,LastChecked,Fate,Freq,Expos,AgeFound,AgeDay1,Stage,Nestling,InitBHCO,BHCONum,BHCOPres,InitClutch,Clutch,Open,KBG,SmoothB,Litter,Bare,Forb,Grasslike,Woody,LitterD,Veg.Height,VOR,Paddock,Replicate,cTreat,pTreat,cDoD,pDoD,grazed,grazep,start,end
2024,BRBL04657335175707,BRBL,29,32,35,1,1,6,0,-28,Incubating,0,1,1,1,5,6,NA,12.541254125412541,20.792079207920793,32.34323432343234,0,12.541254125412541,0.9900990099009901,20.792079207920793,35,940,7,6,SE,39,49,NA,NA,NA,NA,NA,NA
2021,BWTE04642765176848,BWTE,18,34,34,0,1,16,7,-10,Incubating,0,0,0,0,9,9,NA,48.091603053435115,11.450381679389313,29.00763358778626,0,0,0,11.450381679389313,72,533,3.5,14,NW,39,49,51.7,60.2,0,0,194,215
2021,BWTE04643935175735,BWTE,28,48,51,1,1,23,0,-27,Incubating,0,0,0,0,9,9,NA,72.03389830508475,0,12.711864406779661,0,2.5423728813559325,0,12.711864406779661,35,523,6.25,10,SW,39,49,51.7,60.2,0,0,194,215
2021,BWTE04646415176453,BWTE,42,44,44,0,1,2,20,-21,Incubating,0,0,0,0,7,7,NA,13.88888888888889,13.88888888888889,58.333333333333336,0,0,0,13.88888888888889,3,430,4,13,NW,49,68,52.3,60.6,12,1,172,194
2021,BWTE04648505176477,BWTE,16,22,25,1,1,9,3,-12,Incubating,0,0,0,0,9,8,NA,39.175257731958766,0,39.175257731958766,0,15.463917525773196,3.0927835051546393,3.0927835051546393,40,545,3.75,14,NW,39,49,51.7,60.2,0,0,194,215
2021,BWTE04651115176934,BWTE,20,38,38,0,1,18,5,-14,Incubating,0,0,0,0,10,10,NA,13.761467889908257,0,34.862385321100916,0,13.761467889908257,2.7522935779816518,34.862385321100916,27,560,3.5,1,NE,68,0,76.3,0,19,1,144,172
2021,BWTE04652855176258,BWTE,8,8,11,1,1,3,-4,-11,Laying,0,0,0,0,3,4,NA,56.75675675675676,0,13.513513513513514,0,13.513513513513514,2.7027027027027026,13.513513513513514,79,420,1.75,5,SE,68,0,76.3,0,2,1,144,172
2021,BWTE04653065177018,BWTE,46,48,51,1,1,5,20,-25,Incubating,0,0,0,0,9,9,NA,33.33333333333333,0,33.33333333333333,0,0,0,33.33333333333333,22,515,3.25,2,NE,49,68,52.3,60.6,19,1,172,194
2021,BWTE04653395176592,BWTE,22,47,47,0,1,25,-1,-22,Incubating,0,0,0,0,10,11,NA,34.862385321100916,13.761467889908257,34.862385321100916,0,13.761467889908257,0,2.7522935779816518,30,475,3.75,3,NE,39,49,51.7,60.2,0,0,194,215
2021,BWTE04655865175870,BWTE,31,35,38,1,1,7,8,-22,Incubating,0,0,0,0,9,9,NA,58.87850467289719,0,35.51401869158878,0,2.803738317757009,0,2.803738317757009,49,376,3.5,6,SE,49,68,52.3,60.6,6,1,172,194
2021,BWTE04655925177105,BWTE,21,45,45,0,2,24,0,-20,Incubating,0,0,0,0,9,9,NA,35.51401869158878,35.51401869158878,12.149532710280374,0,2.803738317757009,0,14.018691588785046,40,470,3.75,2,NE,49,68,52.3,60.6,13,1,172,194
2022,AMCO04655255176959,BWTE,29,32,36,1,1,4,NA,NA,Incubating,0,0,0,0,8,8,NA,0,0,18.51851851851852,NA,3.7037037037037033,77.77777777777779,0,NA,1170,19,3,NE,49,68,45.3,76.3,0,0,179,202
2022,BWTE04641595175659,BWTE,14,14,18,1,1,4,2,-11,Incubating,0,0,0,0,8,8,NA,0,97.02970297029702,2.9702970297029703,0,0,0,0,15,1070,13.75,11,SW,39,49,35.2,52.3,0,0,202,213
2022,BWTE04641735175688,BWTE,14,27,30,1,1,16,2,-11,Incubating,0,0,0,0,10,10,NA,0,80.18867924528303,2.8301886792452833,0,2.8301886792452833,0,14.150943396226415,70,1080,12.5,11,SW,39,49,35.2,52.3,0,0,202,213
2022,BWTE04641965176334,BWTE,16,37,37,0,1,21,3,-12,Incubating,0,0,0,0,9,9,NA,6.25,31.25,31.25,0,0,0,31.25,20,720,7,12,SW,0,39,0,51.7,0,0,NA,NA
2022,BWTE04642005176377,BWTE,16,40,40,0,1,24,1,-14,Incubating,0,0,0,0,11,11,NA,25,25,0,0,25,0,25,75,920,8.25,12,SW,0,39,0,51.7,0,0,NA,NA
2022,BWTE04642215177209,BWTE,19,31,34,1,1,15,10,-8,Incubating,0,0,0,0,13,13,NA,0,97.02970297029702,0,0,2.9702970297029703,0,0,25,970,11.75,15,NW,39,49,35.2,52.3,0,0,202,213
2022,BWTE04642765176836,BWTE,10,28,31,1,1,21,3,-6,Incubating,0,0,0,0,11,11,NA,4.838709677419355,24.193548387096776,4.838709677419355,0,4.838709677419355,0,61.29032258064516,80,890,8.25,14,NW,49,68,45.3,76.3,0,0,179,202
2022,BWTE04643675175843,BWTE,13,24,27,1,2,13,12,0,Incubating,0,0,0,0,11,11,NA,17.441860465116278,17.441860465116278,17.441860465116278,0,3.488372093023256,0,44.18604651162791,40,670,6.25,10,SW,49,68,45.3,76.3,0,0,179,202
2022,BWTE04643935176730,BWTE,18,37,37,0,2,19,5,-12,Incubating,0,0,0,0,10,10,NA,4.545454545454546,22.727272727272727,22.727272727272727,4.545454545454546,22.727272727272727,22.727272727272727,0,0,650,6,14,NW,49,68,45.3,76.3,0,0,179,202
2022,BWTE04644195175923,BWTE,14,24,27,1,1,13,12,-1,Incubating,0,0,0,0,12,12,NA,53.52112676056338,0,21.12676056338028,0,4.225352112676056,0,21.12676056338028,40,715,6.5,11,SW,39,49,35.2,52.3,0,0,202,213
2022,BWTE04644235176942,BWTE,19,19,22,1,3,3,7,-11,Incubating,0,0,0,0,3,3,NA,51.35135135135135,20.27027027027027,4.054054054054054,0,4.054054054054054,0,20.27027027027027,70,660,6.75,14,NW,49,68,45.3,76.3,0,0,179,202
2022,BWTE04644295175931,BWTE,14,18,21,1,1,7,-2,-15,Incubating,0,0,0,0,8,11,NA,75,0,3.571428571428571,0,3.571428571428571,0,17.857142857142858,80,750,7,11,SW,39,49,35.2,52.3,0,0,202,213
2022,BWTE04644525176483,BWTE,16,43,43,0,1,27,0,-15,Incubating,0,0,0,0,13,13,NA,34.54545454545455,2.727272727272727,2.727272727272727,0,2.727272727272727,0,57.27272727272727,25,540,5.5,13,NW,68,0,65.3,0,25,1,144,179
2022,BWTE04644725175722,BWTE,14,33,37,1,1,23,1,-12,Incubating,0,0,0,0,10,10,NA,36.53846153846153,0,2.8846153846153846,0,60.57692307692307,0,0,20,720,6.25,10,SW,49,68,45.3,76.3,0,0,179,202
